"id","wage","yr","exper","school","union","married","manufacturing"
13,1.1975402046,0,1,14,0,0,0
13,1.8530599951,1,2,14,1,0,0
13,1.3444616775,2,3,14,0,0,0
13,1.4332133359,3,4,14,0,0,0
13,1.5681250801,4,5,14,0,0,0
13,1.6998909418,5,6,14,0,0,0
13,-0.720262576,6,7,14,0,0,0
13,1.6691879168,7,8,14,0,0,0
17,1.6759624043,0,4,13,0,0,0
17,1.5183982018,1,5,13,0,0,0
17,1.5591904773,2,6,13,0,0,0
17,1.7254100887,3,7,13,0,0,0
17,1.6220223205,4,8,13,0,0,0
17,1.6085882735,5,9,13,0,0,0
17,1.5723854135,6,10,13,0,0,0
17,1.8203338562,7,11,13,0,0,0
18,1.5159627486,0,4,12,0,1,0
18,1.7353791358,1,5,12,0,1,0
18,1.6317436699,2,6,12,0,1,1
18,1.9982288111,3,7,12,0,1,0
18,2.1840142196,4,8,12,0,1,0
18,2.2666622392,5,9,12,0,1,0
18,2.06994393,6,10,12,0,1,0
18,2.8731607212,7,11,12,0,1,0
45,1.8941149806,0,2,12,1,0,0
45,1.4711592831,1,3,12,1,0,0
45,1.473497492,2,4,12,0,0,1
45,1.7409142752,3,5,12,0,0,1
45,1.8232137137,4,6,12,0,0,0
45,1.9082728567,5,7,12,0,0,1
45,1.7424473634,6,8,12,0,0,0
45,2.1356889155,7,9,12,0,1,0
110,1.9487748545,0,5,12,1,0,0
110,1.9622592871,1,6,12,0,0,0
110,1.9632968251,2,7,12,0,0,0
110,2.2025156325,3,8,12,0,0,0
110,2.1349542516,4,9,12,0,1,0
110,2.1258228201,5,10,12,0,1,0
110,1.9910166714,6,11,12,0,1,0
110,2.1123933529,7,12,12,0,1,0
120,0.2585548628,0,2,10,0,0,0
120,1.3199717182,1,3,10,0,0,0
120,1.4620852871,2,4,10,0,0,0
120,1.3202869194,3,5,10,0,0,0
120,1.7036465563,4,6,10,0,0,0
120,1.4458032056,5,7,10,0,0,0
120,1.8063640995,6,8,10,0,0,0
120,2.1481201768,7,9,10,0,0,0
126,1.7372854886,0,2,13,0,0,0
126,1.9896008377,1,3,13,0,0,0
126,2.189916837,2,4,13,0,0,0
126,1.8554632169,3,5,13,0,0,0
126,1.9224377929,4,6,13,0,0,0
126,2.0610239562,5,7,13,0,1,0
126,1.7822016235,6,8,13,0,1,0
126,2.4146815778,7,9,13,0,1,0
150,1.2087353007,0,2,12,0,0,0
150,1.1940396628,1,3,12,0,0,0
150,1.1704405715,2,4,12,0,0,0
150,1.0979644985,3,5,12,0,0,0
150,0.7658161885,4,6,12,0,0,0
150,1.119025979,5,7,12,0,0,0
150,1.1193667201,6,8,12,0,0,0
150,0.8314595075,7,9,12,1,0,0
162,0.502470152,0,2,11,1,0,0
162,1.0649123702,1,3,11,0,0,0
162,1.1894979432,2,4,11,0,0,1
162,1.5398885292,3,5,11,0,0,0
162,1.5982860406,4,6,11,0,0,0
162,1.7373206923,5,7,11,0,0,0
162,1.9884558505,6,8,11,0,0,0
162,2.1586784338,7,9,11,0,0,0
166,1.0052940055,0,2,10,1,0,0
166,0.9376873709,1,3,10,1,0,0
166,1.3674877048,2,4,10,1,0,0
166,1.3780087815,3,5,10,1,0,0
166,1.1701834812,4,6,10,1,0,0
166,1.7282214484,5,7,10,0,0,0
166,1.7098647498,6,8,10,0,1,0
166,1.8510747855,7,9,10,0,1,0
189,1.1305453358,0,2,14,0,0,0
189,0.8362480242,1,3,14,0,0,0
189,1.4673598138,2,4,14,0,0,0
189,1.0714836213,3,5,14,0,0,0
189,1.4459194826,4,6,14,0,0,0
189,1.6851163479,5,7,14,0,0,0
189,1.6861749787,6,8,14,0,0,1
189,1.7551303466,7,9,14,0,0,1
193,1.5656918952,0,2,14,0,0,1
193,2.4938753198,1,3,14,0,0,1
193,1.822662074,2,4,14,0,0,1
193,2.3803360564,3,5,14,0,0,1
193,2.2171284955,4,6,14,0,0,1
193,2.2720314362,5,7,14,0,1,1
193,2.3537987319,6,8,14,0,1,1
193,2.4294500341,7,9,14,0,1,1
209,1.9180031958,0,3,11,0,0,0
209,0.7654077478,1,4,11,0,0,0
209,1.9781854376,2,5,11,0,0,0
209,1.94855364,3,6,11,0,0,0
209,2.0370259376,4,7,11,0,0,0
209,1.9025748356,5,8,11,0,0,0
209,1.9726036563,6,9,11,0,0,0
209,2.1869822099,7,10,11,0,0,0
212,1.7844718032,0,2,11,0,0,1
212,2.1799827709,1,3,11,0,0,1
212,1.9638653838,2,4,11,1,0,1
212,2.044932767,3,5,11,0,0,1
212,2.0128613106,4,6,11,0,0,1
212,2.0969857427,5,7,11,0,0,1
212,2.1439661499,6,8,11,0,1,1
212,2.241284366,7,9,11,1,1,1
218,2.0133133756,0,2,15,0,0,0
218,1.9621524552,1,3,15,0,0,0
218,2.2756410219,2,4,15,0,0,0
218,2.1949175631,3,5,15,0,1,0
218,2.4283372983,4,6,15,0,1,0
218,2.7230369434,5,7,15,0,1,0
218,2.9663963196,6,8,15,0,1,0
218,3.065051729,7,9,15,0,1,0
243,1.5641813208,0,4,12,0,0,0
243,1.6835458846,1,5,12,0,0,0
243,1.6905033652,2,6,12,0,0,0
243,1.6608715675,3,7,12,0,1,0
243,1.6980505708,4,8,12,0,1,0
243,1.6717682341,5,9,12,0,1,0
243,1.6357175299,6,10,12,0,1,0
243,1.7869709525,7,11,12,0,1,0
259,2.1071895765,0,3,12,1,1,1
259,2.0890109927,1,4,12,1,1,1
259,2.0427239587,2,5,12,1,1,1
259,1.3081557728,3,6,12,1,1,1
259,1.4881522462,4,7,12,0,1,1
259,1.5428182251,5,8,12,0,1,0
259,1.5351347212,6,9,12,0,1,0
259,1.4543355231,7,10,12,0,1,0
260,1.6299120417,0,2,11,1,0,0
260,1.7751130781,1,3,11,1,0,0
260,1.9672563671,2,4,11,0,0,1
260,2.0751862909,3,5,11,0,1,1
260,2.1288334869,4,6,11,0,1,1
260,2.2684191505,5,7,11,0,1,1
260,1.9921390959,6,8,11,0,1,1
260,2.4215544571,7,9,11,0,1,1
309,1.7860756528,0,3,12,0,0,0
